TMMYTP-240307	5q-ассоциированная спинальная мышечная атрофия (по утвержденным клиническим рекомендациям)-2024
NRPYTO-220309	Острая неопухолевая кишечная непроходимость (по утвержденным клиническим рекомендациям)-2021
RJOGAN-210304	Острые лимфобластные лейкозы (по утвержденным клиническим рекомендациям)-2020
DVOOVN-201020	Острые миелоидные лейкозы (по утвержденным клиническим рекомендациям) - 2020
DOWGED-210401	Острые миелоидные лейкозы у детей (по утвержденным клиническим рекомендациям)-2020
DVPYWV-230209	Острые отравления опиоидными наркотическими веществами (по утвержденным клиническим рекомендациям)-2022
DNDEPE-231215	Острый аппендицит у взрослых (по утвержденным клиническим рекомендациям)-2023
RJPMNI-220310	Острый гепатит В (ГВ) у взрослых (по утвержденным клиническим рекомендациям)-2021
TPWCNE-241016	Острый гепатит В (ГВ) у взрослых (по утвержденным клиническим рекомендациям) - 2024
NPOWDP-220912	Острый гепатит В (ОГВ) у детей (по утвержденным клиническим рекомендациям)-2022
DWRDER-220913	Острый гепатит С (ОГС) у детей (по утвержденным клиническим рекомендациям)-2022
DEPDVM-210307	Острый инфаркт миокарда с подъемом сегмента ST электрокардиограммы (по утвержденным клиническим рекомендациям)-2020
DEPURO-210307	Острый коронарный синдром без подъема сегмента ST электрокардиограммы (по утвержденным клиническим рекомендациям)-2020
TIIMNQ-241023	Острый коронарный синдром без подъема сегмента ST электрокардиограммы (по утвержденным клиническим рекомендациям)-2024
TREQPG-210909	Острый панкреатит (по утверждённым клиническим рекомендациям)-2020
TWIWNA-201020	Острый промиелоцитарный лейкоз (по утвержденным клиническим рекомендациям) - 2020
TDAGIR-220310	Острый холецистит (по утвержденным клиническим рекомендациям)-2021
DNERNU-220310 	Отморожение. Гипотермия. Другие эффекты воздействия низкой температуры (по утвержденным клиническим рекомендациям)- 2021
RJWGAV-240902	Отморожение. Гипотермия. Другие эффекты воздействия низкой температуры (по утвержденным клиническим рекомендациям) - 2024
TANIWJ-220310	Первичная надпочечниковая недостаточность (по утвержденным клиническим рекомендациям) - 2021
DWOYAY-220913	Переломы проксимального отдела бедренной кости (по утвержденным клиническим рекомендациям)-2021
DTTDWA-241016	Послеоперационная вентральная грыжа (по утвержденным клиническим рекомендациям) - 2024
DIDQWN-210307	Почечная колика (по утвержденным клиническим рекомендациям)-2020
TMNITD-240209	Прижизненное донорство почки (по утвержденным клиническим рекомендациям)-2023
TRODDG-220311	Прободная язва (по утвержденным клиническим рекомендациям) - 2021
PQDQRE-240212	Проксимальная спинальная мышечная атрофия 5q. Дети (по утвержденным клиническим рекомендациям) - 2023
DDAWEN-241119	Прочие первичные грыжи брюшной стенки (по утвержденным клиническим рекомендациям) - 2024
RQOMME-210401	Психические и поведенческие расстройства, вызванные употреблением психоактивных веществ. Абстинентное состояние (синдром отмены) с делирием (по утвержденным клиническим рекомендациям)-2020
DENOAI-240304	Рак мочевого пузыря (по утвержденным клиническим рекомендациям) - 2023
DEMGTD-240304	Рак паренхимы почки (по утвержденным клиническим рекомендациям) - 2023
TAPOOJ-201020	Рак полового члена (по утвержденным клиническим рекомендациям)-2020
TIWQMC-241010	Рак полового члена (по утвержденным клиническим рекомендациям) - 2024
DARYAJ-220311	Рак предстательной железы (по утвержденным клиническим рекомендациям) - 2021
DKWNES-220913	Рак прямой кишки (по утвержденным клиническим рекомендациям) - 2022
DEORRG-240304	Рак уретры (по утвержденным клиническим рекомендациям) - 2023
DIDRMI-240814	Рак яичников / рак маточной трубы / первичный рак брюшины (по утвержденным клиническим рекомендациям) - 2024
TAPQOR-220311	Ранняя анемия недоношенных (по утвержденным клиническим рекомендациям) - 2021
TVIARO-240728	Ранняя анемия недоношенных (по утвержденным клиническим рекомендациям) - 2024
TPRMIP-240904	Роды одноплодные, родоразрешение путем кесарева сечения (по утвержденным клиническим рекомендациям) - 2024
DMMVNE-230906	Ротавирусный гастроэнтерит у детей (по утвержденным клиническим рекомендациям)-2023
TPDKNN-220314	Серповидно-клеточные нарушения (по утвержденным клиническим рекомендациям)-2021
TRMTTW-220314	Синдром гиперстимуляции яичников (по утвержденным клиническим рекомендациям)-2021
TEIEOM-240304	Скелетно-мышечные (неспецифические) боли в нижней части спины (по утвержденным клиническим рекомендациям)-2023
DNOGPP-241102	Стриктура уретры у детей (по утвержденным клиническим рекомендациям) - 2024
DORCTT-240209	Трансплантация поджелудочной железы, наличие трансплантированной поджелудочной железы, отмирание и отторжение трансплантата поджелудочной железы (по утвержденным клиническим рекомендациям)-2023
DAPQIS-240209	Трансплантация сердца, наличие трансплантированного сердца, отмирание и отторжение трансплантата сердца (по утвержденным клиническим рекомендациям)-2023
TEIGRV-240304	Уротелиальный рак верхних мочевыводящих путей (по утвержденным клиническим рекомендациям) - 2023
RQNTRK-220315	Фебрильная кататония (по утвержденным клиническим рекомендациям)-2021
TYPJNU-220914	Хроническая болезнь почек у детей (по утвержденным клиническим рекомендациям)-2022
PJINNE-240209	Хронический болевой синдром (ХБС) у взрослых пациентов, нуждающихся в паллиативной медицинской помощи (по утвержденным клиническим рекомендациям) - 2023
PQTSWK-241025	Чрезмерная рвота беременных (по утвержденным клиническим рекомендациям) - 2024
DVMREI-230210	Черепно-мозговая травма у детей (по утвержденным клиническим рекомендациям)-2022
DJIMNI-220914	Эмболия амниотической жидкостью (по утвержденным клиническим рекомендациям)-2022
TVNOTC-230210	Эпилепсия и эпилептический статус у взрослых и детей (по утвержденным клиническим рекомендациям)-2022
DRDQTQ-240720	Послеродовые инфекционные осложнения (по утвержденным клиническим рекомендациям) - 2024
DEOWMP-240924	Трансплантация легкого (легких), трансплантация 
RQRYWD-241107	Корь (по утвержденным клиническим рекомендациям) - 2024
